0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:44:39 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:11 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:11 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:12 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:12 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:21 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:22 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:22 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:29 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:29 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:55 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:45:55 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:12 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:12 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:37 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:37 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:37 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:46:59 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:01 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:05 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:05 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:20 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:22 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:47 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:48 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:48 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:52 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:47:53 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:48:50 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:48:51 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:48:51 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:09 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:10 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:13 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:14 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:14 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:14 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:16 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:17 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:19 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:20 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:21 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:49:22 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:25 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:26 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:26 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:27 +0900] "GET /minesweeper/index.jsp HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:28 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:29 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:29 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:30 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:50:31 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:13 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:26 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:28 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:28 +0900] "GET /minesweeper/css/style.css?ver=1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:29 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:30 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:31 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:32 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:32 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:33 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:51:34 +0900] "GET /minesweeper/login.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:03 +0900] "GET /minesweeper/login.jsp?id=&pw= HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [11/Jun/2021:23:52:05 +0900] "GET /minesweeper/join.jsp HTTP/1.1" 200 2638
